d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.45 0.45 0.0667 -0.0667 0.6533 0.1667 0.2 0.8 2 15 1.27495 0.962439 496.768 
0.45 0.45 0.0667 -0.0667 0.6333 0.5467 0.2 0.8 2 15 1.13945 0.835493 492.065 
0.45 0.45 0.0667 -0.0667 0.6333 0.5267 0.2 0.8 2 15 1.16789 0.760527 485.875 
0.45 0.45 0.0667 -0.0667 0.6333 0.5067 0.2 0.8 2 15 1.85319 0.887488 493.81 
0.45 0.45 0.0667 -0.0667 0.6333 0.4867 0.2 0.8 2 15 1.16591 0.873217 494.741 
0.45 0.45 0.0667 -0.0667 0.6333 0.4667 0.2 0.8 2 1.53 0.223538 0.169839 444.596 
0.45 0.45 0.0667 -0.0667 0.6333 0.4467 0.2 0.8 2 1.454 0.188981 0.169003 445.297 
0.45 0.45 0.0667 -0.0667 0.6333 0.4267 0.2 0.8 2 2.806 0.00390096 0.169047 447.286 
0.45 0.45 0.0667 -0.0667 0.6333 0.4067 0.2 0.8 2 15 2.18283 0.73907 494.977 
0.45 0.45 0.0667 -0.0667 0.6333 0.3867 0.2 0.8 2 15 1.00365 0.628 485.121 
0.45 0.45 0.0667 -0.0667 0.6333 0.3667 0.2 0.8 2 0.99 0.020191 0.162372 417.536 
0.45 0.45 0.0667 -0.0667 0.6333 0.3467 0.2 0.8 2 1.026 0.134362 0.163585 400.926 
0.45 0.45 0.0667 -0.0667 0.6333 0.3267 0.2 0.8 2 1.314 0.0121647 0.172736 415.158 
0.45 0.45 0.0667 -0.0667 0.6333 0.3067 0.2 0.8 2 1.856 0.0678941 0.172331 428.264 
0.45 0.45 0.0667 -0.0667 0.6333 0.2867 0.2 0.8 2 5.08 0.282953 0.168371 471.359 
0.45 0.45 0.0667 -0.0667 0.6333 0.2667 0.2 0.8 2 7.58 0.706178 0.16971 484.427 
0.45 0.45 0.0667 -0.0667 0.6333 0.2467 0.2 0.8 2 15 1.43875 0.87397 496.47 
0.45 0.45 0.0667 -0.0667 0.6333 0.2267 0.2 0.8 2 15 1.16689 0.876142 496.264 
0.45 0.45 0.0667 -0.0667 0.6333 0.2067 0.2 0.8 2 2.646 0.308111 0.172238 450.162 
0.45 0.45 0.0667 -0.0667 0.6333 0.1867 0.2 0.8 2 3.176 0.117168 0.170728 450.085 
0.45 0.45 0.0667 -0.0667 0.6333 0.1667 0.2 0.8 2 3.512 0.294542 0.172581 474.077 
0.45 0.45 0.0667 -0.0667 0.6133 0.5467 0.2 0.8 2 15 0.476245 0.668807 491.285 
0.45 0.45 0.0667 -0.0667 0.6133 0.5267 0.2 0.8 2 15 1.71218 0.886458 494.783 
0.45 0.45 0.0667 -0.0667 0.6133 0.5067 0.2 0.8 2 15 2.77881 0.943803 497.734 
0.45 0.45 0.0667 -0.0667 0.6133 0.4867 0.2 0.8 2 15 2.02075 0.785614 494.876 
0.45 0.45 0.0667 -0.0667 0.6133 0.4667 0.2 0.8 2 5.886 0.0541816 0.171268 476.243 
0.45 0.45 0.0667 -0.0667 0.6133 0.4467 0.2 0.8 2 4.948 0.401678 0.168946 460.612 
